프로골퍼	프로/NNG + 골퍼/NNG
금메달을	금메달/NNG + 을/JKO
독려,	독려/NNG + ,/SP
눈길을	눈길/NNG + 을/JKO
끌었다.	끌/VV + 었/EP + 다/EF + ./SF

남자	남자/NNG
일반부	일반부/NNG
마라톤에선	마라톤/NNG + 에서/JKB + ㄴ/JX
임진수(25·코오롱·전남)가	임진수/NNP + (/SS + 25/SN + ·/SP + 코오롱/NNP + ·/SP + 전남/NNP + )/SS + 가/JKS
2시간19분54초로금메달을	2/SN + 시간/NNB + 19/SN + 분/NNB + 54/SN + 초/NNB + 로/JKB + 금메달/NNG + 을/JKO
목에	목/NNG + 에/JKB
걸었다.	걸/VV + 었/EP + 다/EF + ./SF

임진수는	임진수/NNP + 는/JX
35km	35/SN + km/SL
부근에서	부근/NNG + 에서/JKB
왼쪽	왼쪽/NNG
다리에	다리/NNG + 에/JKB
쥐가	쥐/NNG + 가/JKS
나	나/NP
레이스를	레이스/NNG + 를/JKO
포기할	포기/NNG + 하/XSV + ㄹ/ETM
뻔했으나	뻔/NNB + 하/XSA + 았/EP + 으나/EC
등번호를	등/NNG + 번호/NNG + 를/JKO
고정시킨	고정/NNG + 시키/XSV + ㄴ/ETM
옷핀으로	옷핀/NNG + 으로/JKB
허벅지를	허벅지/NNG + 를/JKO
찔러	찌르/VV + 어/EC
피를	피/NNG + 를/JKO
내	내/VV + 어/EC
가며	가/VX + 며/EC
투혼을	투혼/NNG + 을/JKO
발휘,	발휘/NNG + ,/SP
맨	맨/MM
먼저	먼저/MAG
결승선을	결승선/NNG + 을/JKO
통과했다.	통과/NNG + 하/XSV + 았/EP + 다/EF + ./SF

수중에선	수중/NNG + 에서/JKB + ㄴ/JX
서울의	서울/NNP + 의/JKG
윤영중(19·고려대)이	윤영중/NNP + (/SS + 19/SN + ·/SP + 고려대/NNP + )/SS + 이/JKS
이날	이날/NNG
표면	표면/NNG
400ｍ와	400/SN + ｍ/SW + 와/JC
계영	계영/NNG
400ｍ서	400/SN + ｍ/SW + 서/JKB
우승하며	우승/NNG + 하/XSV + 며/EC
이번	이번/NNG
대회	대회/NNG
첫	첫/MM
5관왕을	5/SN + 관왕/NNG + 을/JKO
차지했다.	차지/NNG + 하/XSV + 았/EP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
9월	9/SN + 월/NNB
26일	26/SN + 일/NNB
캔자스시티	캔자스시티/NNP
원정경기에서	원정/NNG + 경기/NNG + 에서/JKB
있었던	있/VV + 었/EP + 던/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

그날도	그날/NNG + 도/JX
불펜	불펜/NNG
가까이서	가까이/NNG + 서/JKB
응원하던	응원/NNG + 하/XSV + 던/ETM
어린이에게	어린이/NNG + 에게/JKB
공을	공/NNG + 을/JKO
하나	하나/NR
주는데	주/VX + 는데/EC
갑자기	갑자기/MAG
술에	술/NNG + 에/JKB
취한	취하/VV + ㄴ/ETM
젊은이가	젊은이/NNG + 가/JKS
중간에서	중간/NNG + 에서/JKB
가로채는	가로채/VV + 는/ETM
것이었다.	것/NNB + 이/VCP + 었/EP + 다/EF + ./SF

내가	내/NP + 가/JKS
꼬마에게	꼬마/NNG + 에게/JKB
공을	공/NNG + 을/JKO
주라고	주/VV + 라고/EC
하자	하/VV + 자/EC
가운데	가운데/NNG
손가락을	손가락/NNG + 을/JKO
치켜세우며	치켜세우/VV + 며/EC
욕을	욕/NNG + 을/JKO
해대기	하/VV + 아/EC + 대/VX + 기/ETN
시작했다.	시작/NNG + 하/XSV + 았/EP + 다/EF + ./SF

나는	나/NP + 는/JX
운동장	운동장/NNG
안전요원을	안전/NNG + 요원/NNG + 을/JKO
불렀고	부르/VV + 었/EP + 고/EC
그	그/MM
젊은이는	젊은이/NNG + 는/JX
가차없이	가차/NNG + 없이/MAG
운동장	운동장/NNG
밖으로	밖/NNG + 으로/JKB
추방됐다.	추방/NNG + 되/XSV + 었/EP + 다/EF + ./SF

또	또/MAG
시즌이	시즌/NNG + 이/JKS
마무리될	마무리/NNG + 되/XSV + ㄹ/ETM
무렵	무렵/NNB
트리플A에서	트리플/NNG + A/SL + 에서/JKB
메이저리그로	메이저/NNG + 리그/NNG + 로/JKB
갓	갓/MAG
올라온	올라오/VV + ㄴ/ETM
투수	투수/NNG
한	한/MM
명은	명/NNB + 은/JX
심판에게	심판/NNG + 에게/JKB
손가락으로	손가락/NNG + 으로/JKB
욕을	욕/NNG + 을/JKO
하다가	하/VV + 다가/EC
방출되기도	방출/NNG + 되/XSV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

보스턴	보스턴/NNP
펜웨이파크는	펜웨이파크/NNP + 는/JX
광적인	광/NNG + 적/XSN + 이/VCP + ㄴ/ETM
팬이	팬/NNG + 이/JKS
많아서인지	많/VA + 아서/EC + 이/VCP + ㄴ지/EC
응원도	응원/NNG + 도/JX
다른	다른/MM
도시보다	도시/NNG + 보다/JKB
열광적이고,	열광/NNG + 적/XSN + 이/VCP + 고/EC + ,/SP
야유도	야유/NNG + 도/JX
대단하다.	대단/XR + 하/XSA + 다/EF + ./SF

그러나	그러나/MAJ
관중들의	관중/NNG + 들/XSN + 의/JKG
야유에	야유/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
김병현의	김병현/NNP + 의/JKG
이번	이번/NNG
태도는	태도/NNG + 는/JX
아쉬운	아쉽/VA + ㄴ/ETM
점이	점/NNG + 이/JKS
많다.	많/VA + 다/EF + ./SF

이유야	이유/NNG + 야/JX
어찌	어찌/MAG
되었든	되/VV + 었/EP + 든/EC
관중을	관중/NNG + 을/JKO
왕(?)처럼	왕/NNG + (/SS + ?/SF + )/SS + 처럼/JKB

모셔야	모시/VV + 어야/EC
하는	하/VX + 는/ETM
프로스포츠	프로/NNG + 스포츠/NNG
선수로서는	선수/NNG + 로서/JKB + 는/JX
해서는	하/VV + 아서/EC + 는/JX
안	안/MAG
될	되/VV + ㄹ/ETM
행동이었다.	행동/NNG + 이/VCP + 었/EP + 다/EF + ./SF

김병현의	김병현/NNP + 의/JKG
야구에	야구/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
열정은	열정/NNG + 은/JX
특별하다.	특별/NNG + 하/XSA + 다/EF + ./SF

보스턴	보스턴/NNP
투수	투수/NNG
코치	코치/NNG
월러스는	월러스/NNP + 는/JX
나만	나/NP + 만/JX
보면	보/VV + 면/EC
"BK는	"/SS + BK/SL + 는/JX
연습	연습/NNG
좀	좀/MAG
그만	그만/MAG
했으면	하/VV + 았/EP + 으면/EC
좋겠다"고	좋/VA + 겠/EP + 다/EC + "/SS + 고/JKQ
하소연이다.	하소연/NNG + 이/VCP + 다/EF + ./SF

보스턴	보스턴/NNP
구장	구장/NNG
클럽하우스	클럽/NNG + 하우스/NNG
매니저는	매니저/NNG + 는/JX
늦도록	늦/VA + 도록/EC
혼자서	혼자/NNG + 서/JKS
연습하는	연습/NNG + 하/XSV + 는/ETM
김병현	김병현/NNP
때문에	때문/NNB + 에/JKB
퇴근이	퇴근/NNG + 이/JKS
늦어진다고	늦/VA + 어/EC + 지/VX + ㄴ다고/EC
불평	불평/NNG
아닌	아니/VCN + ㄴ/ETM
불평을	불평/NNG + 을/JKO
한다.	하/VV + ㄴ다/EF + ./SF

또	또/MAG
화이트삭스에서	화이트삭스/NNP + 에서/JKB
보스턴으로	보스턴/NNP + 으로/JKB
트레이드되어	트레이드/NNG + 되/XSV + 어/EC
간	가/VX + ㄴ/ETM
투수	투수/NNG
엠브리는	엠브리/NNP + 는/JX
나에게	나/NP + 에게/JKB
"병현이는	"/SS + 병현이/NNP + 는/JX
야구에	야구/NNG + 에/JKB
미쳤다"고	미치/VV + 었/EP + 다/EF + "/SS + 고/JKQ
표현했다.	표현/NNG + 하/XSV + 았/EP + 다/EF + ./SF

김병현은	김병현/NNP + 은/JX
아직	아직/MAG
젊다.	젊/VA + 다/EF + ./SF

앞으로	앞/NNG + 으로/JKB
10년	10/SN + 년/NNB
이상	이상/NNG
메이저리그에서	메이저/NNG + 리그/NNG + 에서/JKB
한국을	한국/NNP + 을/JKO
빛낼	빛내/VV + ㄹ/ETM
선수이다.	선수/NNG + 이/VCP + 다/EF + ./SF

이곳에서	이곳/NP + 에서/JKB
활동하려면	활동/NNG + 하/XSV + 려면/EC
이곳의	이곳/NP + 의/JKG
룰을	룰/NNG + 을/JKO
따라야	따르/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

외국인이라서	외국인/NNG + 이/VCP + 라서/EC
따돌린다고	따돌리/VV + ㄴ다고/EC
생각하지도	생각/NNG + 하/XSV + 지/EC + 도/JX
말고,	말/VX + 고/EC + ,/SP
외국인이니까	외국인/NNG + 이/VCP + 니까/EC
특별한	특별/NNG + 하/XSA + ㄴ/ETM
대접이나	대접/NNG + 이나/JC
이해를	이해/NNG + 를/JKO
바라지도	바라/VV + 지/EC + 도/JX
말고	말/VX + 고/EC
주인의식을	주인/NNG + 의식/NNG + 을/JKO
가진	가지/VV + ㄴ/ETM
당당한	당당/MAG + 하/XSA + ㄴ/ETM
메이저리거가	메이저리거/NNG + 가/JKC
되길	되/VV + 기/ETN + ㄹ/JKO
바란다.	바라/VV + ㄴ다/EF + ./SF

이곳에서	이곳/NP + 에서/JKB
김병현의	김병현/NNP + 의/JKG
위치는	위치/NNG + 는/JX
이제	이제/MAG
겨우	겨우/MAG
기대주로	기대주/NNG + 로/JKB
각광받는	각광/NNG + 받/VV + 는/ETM
최희섭이나	최희섭/NNP + 이나/JC
서재응과는	서재응/NNP + 과/JKB + 는/JX
큰	크/VA + ㄴ/ETM
차이가	차이/NNG + 가/JKS
있다.	있/VV + 다/EF + ./SF

젊은	젊/VA + 은/ETM
나이를	나이/NNG + 를/JKO
감안하면	감안/NNG + 하/XSV + 면/EC
그의	그/NP + 의/JKG
연봉은	연봉/NNG + 은/JX
마무리로서	마무리/NNG + 로서/JKB
특급에	특급/NNG + 에/JKB
해당한다.	해당/NNG + 하/XSV + ㄴ다/EF + ./SF

이번	이번/NNG
사건을	사건/NNG + 을/JKO
계기로	계기/NNG + 로/JKB
자신의	자신/NNG + 의/JKG
위치를	위치/NNG + 를/JKO
다시	다시/MAG
한	한/MM
번	번/NNB
되돌아보고	되돌아보/VV + 고/EC
책임감	책임감/NNG
있는	있/VV + 는/ETM
행동을	행동/NNG + 을/JKO
하기를	하/VV + 기/ETN + 를/JKO
부탁한다.	부탁/NNG + 하/XSV + ㄴ다/EF + ./SF

'선동열	'/SS + 선동열/NNP
후(後)폭풍'에	후/NNG + (/SS + 後/SH + )/SS + 폭풍/NNG + '/SS + 에/JKB
결국	결국/NNG
LG도	LG/SL + 도/JX
직격탄을	직격탄/NNG + 을/JKO
맞았다.	맞/VV + 았/EP + 다/EF + ./SF

프로야구	프로/NNG + 야구/NNG
LG는	LG/SL + 는/JX
14일	14/SN + 일/NNB
"이광환	"/SS + 이광환/NNP
감독이	감독/NNG + 이/JKS
올	올/MM
시즌	시즌/NNG
성적	성적/NNG
부진의	부진/NNG + 의/JKG
책임을	책임/NNG + 을/JKO
지고	지/VV + 고/EC
1군	1/SN + 군/NNG
감독직을	감독/NNG + 직/NNG + 을/JKO
사퇴했다"고	사퇴/NNG + 하/XSV + 았/EP + 다/EF + "/SS + 고/JKQ
공식	공식/NNG
발표했다.	발표/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이	이/MM
감독은	감독/NNG + 은/JX
계약기간인	계약/NNG + 기간/NNG + 이/VCP + ㄴ/ETM
내년까지	내년/NNG + 까지/JX
구단의	구단/NNG + 의/JKG
요청에	요청/NNG + 에/JKB
따라	따르/VV + 아/EC
2군	2/SN + 군/NNG
감독을	감독/NNG + 을/JKO
맡아	맡/VV + 아/EC
후배들을	후배/NNG + 들/XSN + 을/JKO
양성하게	양성/NNG + 하/XSV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

LG는	LG/SL + 는/JX
이로써	이/NP + 로써/JKB
2000년	2000/SN + 년/NNB
이후	이후/NNG
이광은,	이광은/NNP + ,/SP
김성근,	김성근/NNP + ,/SP
이광환	이광환/NNP
등	등/NNB
3명의	3/SN + 명/NNB + 의/JKG
감독이	감독/NNG + 이/JKS
모두	모두/MAG
임기를	임기/NNG + 를/JKO
채우지	채우/VV + 지/EC
못하고	못하/VX + 고/EC
낙마하는	낙마/NNG + 하/XSV + 는/ETM
아픔을	아픔/NNG + 을/JKO
겪게	겪/VV + 게/EC
됐다.	되/VV + 었/EP + 다/EC

이광환	이광환/NNP
감독이	감독/NNG + 이/JKS
물러나는	물러나/VV + 는/ETM
공식적인	공식/NNG + 적/XSN + 이/VCP + ㄴ/ETM
사유는	사유/NNG + 는/JX
성적	성적/NNG
부진.	부진/NNG + ./SF

하지만	하지만/MAJ
야구계에서는	야구/NNG + 계/XSN + 에서/JKB + 는/JX
선동열	선동열/NNP
전	전/MM
KBO	KBO/SL
홍보위원	홍보/NNG + 위원/NNG
영입에	영입/NNG + 에/JKB
섣불리	섣불리/MAG
나섰다가	나서/VV + 었/EP + 다가/EC
결국	결국/NNG
이	이/MM
감독	감독/NNG
체제가	체제/NNG + 가/JKS
흔들렸다는	흔들리/VV + 었/EP + 다는/ETM
분석이	분석/NNG + 이/JKS
설득력을	설득력/NNG + 을/JKO
얻고	얻/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

이광환	이광환/NNP
감독은	감독/NNG + 은/JX
이와	이/NP + 와/JKB
관련	관련/NNG
"나는	"/SS + 나/NP + 는/JX
선동열이	선동열/NNP + 이/JKS
LG	LG/SL
구단으로	구단/NNG + 으로/JKB
오기를	오/VV + 기/ETN + 를/JKO
바랐고	바라/VV + 았/EP + 고/EC
구단에	구단/NNG + 에/JKB
섭섭한	섭섭/XR + 하/XSA + ㄴ/ETM
감정은	감정/NNG + 은/JX
없다"며	없/VA + 다/EC + "/SS + 며/EC
"내가	"/SS + 내/NP + 가/JKS
물러나는	물러나/VV + 는/ETM
것은	것/NNB + 은/JX
성적이	성적/NNG + 이/JKS
부진한	부진/NNG + 하/XSA + ㄴ/ETM
데	데/NNB
대한	대하/VV + ㄴ/ETM
책임감을	책임감/NNG + 을/JKO
느꼈기	느끼/VV + 었/EP + 기/ETN
때문"이라고	때문/NNB + "/SS + 이/VCP + 라고/EC
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

한편	한편/MAG
LG의	LG/SL + 의/JKG
후임	후임/NNG
감독에는	감독/NNG + 에/JKB + 는/JX
현재	현재/MAG
LG와	LG/SL + 와/JC
다른	다른/MM
팀에서	팀/NNG + 에서/JKB
활동	활동/NNG
중인	중/NNB + 이/VCP + ㄴ/ETM
LG	LG/SL
출신의	출신/NNG + 의/JKG
코치가	코치/NNG + 가/JKS
발탁될	발탁/NNG + 되/XSV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

◈축구대표	◈/SW + 축구/NNG + 대표/NNG
불가리아와	불가리아/NNP + 와/JKB
평가전	평가전/NNG

한국축구대표팀이	한국/NNP + 축구/NNG + 대표/NNG + 팀/NNG + 이/JKS
다음달	다음/NNG + 달/NNG
18일	18/SN + 일/NNB
오후	오후/NNG
7시	7/SN + 시/NNB
한국(장소	한국/NNP + (/SS + 장소/NNG
미정)에서	미정/NNG + )/SS + 에서/JKB
FIFA랭킹	FIFA/SL + 랭킹/NNG
31위인	31/SN + 위/NNB + 이/VCP + ㄴ/ETM
불가리아와	불가리아/NNP + 와/JKB
평가전을	평가전/NNG + 을/JKO
갖는다.	갖/VV + 는다/EF + ./SF

◈정몽준회장	◈/SW + 정몽준/NNP + 회장/NNG
FIFA총회	FIFA/SL + 총회/NNG
참석	참석/NNG

정몽준	정몽준/NNP
대한축구협회	대한축구협회/NNP
회장	회장/NNG
겸	겸/NNB
국제축구연맹(FIFA)	국제/NNG + 축구/NNG + 연맹/NNG + (/SS + FIFA/SL + )/SS
부회장은	부회장/NNG + 은/JX
카타르	카타르/NNP
도하에서	도하/NNP + 에서/JKB
열리는	열리/VV + 는/ETM
FIFA	FIFA/SL
임시총회와	임시/NNG + 총회/NNG + 와/JC
집행위원회에	집행/NNG + 위원회/NNG + 에/JKB
참석,	참석/NNG + ,/SP
18일	18/SN + 일/NNB
오후	오후/NNG
11시15분(한국시각)	11/SN + 시/NNB + 15/SN + 분/NNB + (/SS + 한국/NNP + 시각/NNG + )/SS
실시되는	실시/NNG + 되/XSV + 는/ETM
2004아테네올림픽	2004/SN + 아테네/NNP + 올림픽/NNG
아시아지역	아시아/NNP + 지역/NNG
최종예선	최종/NNG + 예선/NNG
조	조/NNG
추첨식에	추첨식/NNG + 에/JKB
참가할	참가/NNG + 하/XSV + ㄹ/ETM
예정이다.	예정/NNG + 이/VCP + 다/EF + ./SF

◈김석현	◈/SW + 김석현/NNP
2부투어	2/SN + 부/NNB + 투어/NNG
골프	골프/NNG
우승	우승/NNG

김석현(23)이	김석현/NNP + (/SS + 23/SN + )/SS + 이/JKS
14일	14/SN + 일/NNB
경기도	경기도/NNP
여주의	여주/NNP + 의/JKG
한일CC에서	한일/NNP + CC/SL + 에서/JKB
열린	열리/VV + ㄴ/ETM
프로골프	프로/NNG + 골프/NNG
KTF(2부)투어	KTF/SL + (/SS + 2/SN + 부/NNG + )/SS + 투어/NNG
9차대회	9/SN + 차/NNB + 대회/NNG
2라운드에서	2/SN + 라운드/NNG + 에서/JKB
3언더파를	3/SN + 언더/NNG + 파/NNG + 를/JKO
기록,	기록/NNG + ,/SP
1·2라운드	1/SN + ·/SP + 2/SN + 라운드/NNG
합계	합계/NNG
10언더파	10/SN + 언더/NNG + 파/NNG
134타로	134/SN + 타/NNG + 로/JKB
우승,	우승/NNG + ,/SP
상금	상금/NNG
1000만원을	1000/SN + 만/NR + 원/NNB + 을/JKO
받았다.	받/VV + 았/EP + 다/EF + ./SF

*"부상없이	*/SW + "/SS + 부상/NNG + 없이/MAG
함께	함께/MAG
뜁시다"	뛰/VV + ㅂ시다/EC + "/SS

'달리는	'/SS + 달리/VV + 는/ETM
의사들'의	의사/NNG + 들/XSN + '/SS + 의/JKG
일원으로	일원/NNG + 으로/JKB
많은	많/VA + 은/ETM
마라톤	마라톤/NNG
부상자들을	부상자/NNG + 들/XSN + 을/JKO
진료해	진료/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
김학윤	김학윤/NNP
정형외과	정형외과/NNG
전문의(사진)가	전문의/NNG + (/SS + 사진/NNG + )/SS + 가/JKS
19일	19/SN + 일/NNB
열리는	열리/VV + 는/ETM
춘천마라톤	춘천/NNP + 마라톤/NNG
출전자들에게	출전자/NNG + 들/XSN + 에게/JKB
스트레칭	스트레칭/NNG
요령을	요령/NNG + 을/JKO
소개한다.	소개/NNG + 하/XSV + ㄴ다/EF + ./SF

필자는	필자/NNG + 는/JX
2001년	2001/SN + 년/NNB
춘천마라톤	춘천/NNP + 마라톤/NNG
풀코스를	풀코스/NNG + 를/JKO
처음	처음/NNG
완주한	완주/NNG + 하/XSV + ㄴ/ETM
이후	이후/NNG
지금까지	지금/NNG + 까지/JX
풀코스를	풀코스/NNG + 를/JKO
35차례	35/SN + 차례/NNG
완주(최고기록	완주/NNG + (/SS + 최고/NNG + 기록/NNG
3시간42분58초)했으며	3/SN + 시간/NNG + 42/SN + 분/NNB + 58/SN + 초/NNB + )/SS + 하/XSV + 았/EP + 으며/EC
부상없이	부상/NNG + 없이/MAG
마라톤을	마라톤/NNG + 을/JKO
즐기는	즐기/VV + 는/ETM
달리기	달리기/NNG
예찬론자다.	예찬/NNG + 론/XSN + 자/NNG + 이/VCP + 다/EF + ./SF

스트레칭	스트레칭/NNG
시범은	시범/NNG + 은/JX
세종대	세종대/NNP
무용학과	무용/NNG + 학과/NNG
4학년	4/SN + 학년/NNG
최은지씨가	최은지/NNP + 씨/NNB + 가/JKS
맡았다.	맡/VV + 았/EP + 다/EF + ./SF

Stretching?	Stretching/SL + ?/SF

달리기	달리기/NNG
부상자들을	부상자/NNG + 들/XSN + 을/JKO
많이	많이/MAG
진료해본	진료/NNG + 하/XSV + 아/EC + 보/VX + ㄴ/ETM
결과	결과/NNG
공통적으로	공통/NNG + 적/XSN + 으로/JKB
하체	하체/NNG
유연성이	유연/XR + 성/XSN + 이/JKS
부족하다는	부족/NNG + 하/XSA + 다는/ETM
사실을	사실/NNG + 을/JKO
발견했다.	발견/NNG + 하/XSV + 았/EP + 다/EF + ./SF

아무리	아무리/MAG
바빠도	바쁘/VA + 아도/EC
마라토너들이	마라토너/NNG + 들/XSN + 이/JKS
꼭	꼭/MAG
스트레칭해주어야	스트레칭/NNG + 하/XSV + 아/EC + 주/VX + 어야/EC
할	하/VX + ㄹ/ETM
하체	하체/NNG
근육으로	근육/NNG + 으로/JKB
두	두/MM
가지를	가지/NNB + 를/JKO
지적한다.	지적/NNG + 하/XSV + ㄴ다/EF + ./SF

보통	보통/NNG
햄스트링(hamstrings)으로	햄스트링/NNG + (/SS + hamstrings/SL + )/SS + 으로/JKB
불리는	불리/VV + 는/ETM
슬굴곡근과	슬굴곡근/NNG + 과/JC
장딴지	장딴지/NNG
근육이다.	근육/NNG + 이/VCP + 다/EF + ./SF

햄스트링이란	햄스트링/NNG + 이란/JX
엉덩이	엉덩이/NNG
뒤에서	뒤/NNG + 에서/JKB
고관절과	고관절/NNG + 과/JC
무릎관절을	무릎/NNG + 관절/NNG + 을/JKO
지나가는	지나가/VV + 는/ETM
근육들로	근육/NNG + 들/XSN + 로/JKB
쉽게	쉽/VA + 게/EC
말해	말/NNG + 하/XSV + 아/EC
넓적다리	넓적다리/NNG
뒷부분에서	뒷부분/NNG + 에서/JKB
만져지는	만지/VV + 어/EC + 지/VX + 는/ETM
근육들이다.	근육/NNG + 들/XSN + 이/VCP + 다/EF + ./SF

이는	이/NP + 는/JX
고관절을	고관절/NNG + 을/JKO
뒤로	뒤/NNG + 로/JKB
젖히고	젖히/VV + 고/EC
무릎을	무릎/NNG + 을/JKO
구부리는	구부리/VV + 는/ETM
기능을	기능/NNG + 을/JKO
한다.	하/VV + ㄴ다/EF + ./SF

빠르게	빠르/VA + 게/EC
달리는	달리/VV + 는/ETM
주자,	주자/NNG + ,/SP
달리기	달리기/NNG
경력이	경력/NNG + 이/JKS
오래된	오래/MAG + 되/XSV + ㄴ/ETM
주자일수록	주자/NNG + 이/VCP + ㄹ수록/EC
햄스트링의	햄스트링/NNG + 의/JKG
과긴장이	과/XPN + 긴장/NNG + 이/JKS
초래될	초래/NNG + 되/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

초보자뿐	초보자/NNG + 뿐/JX
아니라	아니/VCN + 라/EC
오래된	오래/MAG + 되/XSV + ㄴ/ETM
경력자와	경력자/NNG + 와/JKB
빠르게	빠르/VA + 게/EC
달리는	달리/VV + 는/ETM
상급자들에게도	상급자/NNG + 들/XSN + 에게/JKB + 도/JX
스트레칭은	스트레칭/NNG + 은/JX
매우	매우/MAG
중요하다.	중요/NNG + 하/XSA + 다/EF + ./SF

일반적으로	일반/NNG + 적/XSN + 으로/JKB
훈련의	훈련/NNG + 의/JKG
강도가	강도/NNG + 가/JKS
높을수록,	높/VA + 을수록/EC + ,/SP
주행거리와	주행/NNG + 거리/NNG + 와/JC
시간이	시간/NNG + 이/JKS
늘어날수록	늘어나/VV + ㄹ수록/EC
스트레칭에	스트레칭/NNG + 에/JKB
더욱	더욱/MAG
신경을	신경/NNG + 을/JKO
써야	쓰/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

반동을	반동/NNG + 을/JKO
주지	주/VV + 지/EC
말고,	말/VX + 고/EC + ,/SP
통증이	통증/NNG + 이/JKS
오지	오/VV + 지/EC
않는	않/VX + 는/ETM
범위에서	범위/NNG + 에서/JKB
뻐근하게	뻐근/XR + 하/XSA + 게/EC
느껴지는	느끼/VV + 어/EC + 지/VX + 는/ETM
시점까지	시점/NNG + 까지/JX
부드럽게	부드럽/VA + 게/EC
근육을	근육/NNG + 을/JKO
늘리며,	늘리/VV + 며/EC + ,/SP
한	한/MM
자세당	자세/NNG + 당/XSN
평균	평균/NNG
15~20초의	15/SN + ~/SO + 20/SN + 초/NNB + 의/JKG
시간을	시간/NNG + 을/JKO
유지하되	유지/NNG + 하/XSV + 되/EC
스트레칭을	스트레칭/NNG + 을/JKO
하고	하/VV + 고/EC
났을	나/VX + 았/EP + 을/ETM
때	때/NNG
시원한	시원/XR + 하/XSA + ㄴ/ETM
느낌이	느낌/NNG + 이/JKS
들면	들/VV + 면/EC
좋은	좋/VA + 은/ETM
스트레칭이라고	스트레칭/NNG + 이/VCP + 라고/EC
말할	말/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

◈	◈/SW
장경인대	장경/NNG + 인대/NNG
스트레칭	스트레칭/NNG
B	B/SL

일반적으로	일반/NNG + 적/XSN + 으로/JKB
'다리풀기'	'/SS + 다리/NNG + 풀/VV + 기/ETN + '/SS
스트레칭을	스트레칭/NNG + 을/JKO
한다며	하/VV + ㄴ다며/EC
오른쪽	오른쪽/NNG
위	위/NNG
같은	같/VA + 은/ETM
자세로	자세/NNG + 로/JKB
번갈아가며	번갈/VV + 아/EC + 가/VX + 며/EC
양	양/MM
무릎을	무릎/NNG + 을/JKO
구부려	구부리/VV + 어/EC
다리를	다리/NNG + 를/JKO
펴주는	펴/VV + 어/EC + 주/VX + 는/ETM
동작을	동작/NNG + 을/JKO
취하는	취하/VV + 는/ETM
마라토너들이	마라토너/NNG + 들/XSN + 이/JKS
많은데,	많/VA + 은데/EC + ,/SP
이것은	이것/NP + 은/JX
마라톤에	마라톤/NNG + 에/JKB
중요한	중요/NNG + 하/XSA + ㄴ/ETM
장경인대	장경/NNG + 인대/NNG
스트레칭에는	스트레칭/NNG + 에/JKB + 는/JX
효과적이지	효과/NNG + 적/XSN + 이/VCP + 지/EC
못하다.	못하/VX + 다/EF + ./SF

장경인대를	장경/NNG + 인대/NNG + 를/JKO
보다	보다/MAG
효과적으로	효과/NNG + 적/XSN + 으로/JKB
스트레칭하기	스트레칭/NNG + 하/XSV + 기/ETN
위해서는	위하/VV + 아서/EC + 는/JX
아래	아래/NNG
그림처럼	그림/NNG + 처럼/JKB
체중을	체중/NNG + 을/JKO
스트레칭할	스트레칭/NNG + 하/XSV + ㄹ/ETM
쪽(사진의	쪽/NNB + (/SS + 사진/NNG + 의/JKG
경우	경우/NNG
오른발)으로	오른발/NNG + )/SS + 으로/JKB
이동시키며	이동/NNG + 시키/XSV + 며/EC
몸을	몸/NNG + 을/JKO
회전시켜줘야	회전/NNG + 시키/XSV + 어/EC + 주/VX + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

이	이/MM
스트레칭을	스트레칭/NNG + 을/JKO
한	하/VV + ㄴ/ETM
뒤	뒤/NNG
우측	우측/NNG
