러시아의	러시아/NNP + 의/JKG
60	60/SN
~	~/SO
70%이다.	70/SN + %/SW + 이/VCP + 다/EF + ./SF

절제한	절제/NNG + 하/XSV + ㄴ/ETM
부위에	부위/NNG + 에/JKB
암이	암/NNG + 이/JKS
재발할	재발/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
나타나는	나타나/VV + 는/ETM
증세는	증세/NNG + 는/JX
절제한	절제/NNG + 하/XSV + ㄴ/ETM
쪽의	쪽/NNB + 의/JKG
팔이	팔/NNG + 이/JKS
붓고	붓/VV + 고/EC
통증이	통증/NNG + 이/JKS
오는	오/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

절제	절제/NNG
수술시	수술/NNG + 시/NNB
완벽하게	완벽/NNG + 하/XSA + 게/EC
제거되지	제거/NNG + 되/XSV + 지/EC
못한	못하/VX + ㄴ/ETM
암세포가	암세포/NNG + 가/JKS
겨드랑이	겨드랑이/NNG
임파선	임파선/NNG
쪽으로	쪽/NNB + 으로/JKB
번지기	번지/VV + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

수술	수술/NNG
후유증으로,	후유증/NNG + 으로/JKB + ,/SP
임파선에	임파선/NNG + 에/JKB
부종이	부종/NNG + 이/JKS
생길	생기/VV + ㄹ/ETM
때도	때/NNG + 도/JX
팔이	팔/NNG + 이/JKS
붓고	붓/VV + 고/EC
통증이	통증/NNG + 이/JKS
오기는	오/VV + 기/ETN + 는/JX
하나	하/VX + 나/EC
이	이/MM
경우는	경우/NNG + 는/JX
별	별/MM
문제가	문제/NNG + 가/JKC
되지	되/VV + 지/EC
않는다고	않/VX + 는다고/EC
황	황/NNP
교수는	교수/NNG + 는/JX
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

다른	다른/MM
쪽	쪽/NNB
유방마저	유방/NNG + 마저/JX
암에	암/NNG + 에/JKB
걸리는	걸리/VV + 는/ETM
것은	것/NNB + 은/JX
절제	절제/NNG
부위의	부위/NNG + 의/JKG
암세포가	암세포/NNG + 가/JKS
번져서가	번지/VV + 어서/EC + 가/JKC
아니라	아니/VCN + 라/EC
대부분	대부분/NNG
암세포가	암세포/NNG + 가/JKS
새로	새로/MAG
발생했기	발생/NNG + 하/XSV + 았/EP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

따라서	따라서/MAJ
수시로	수시/NNG + 로/JKB
종양	종양/NNG
검사를	검사/NNG + 를/JKO
받는	받/VV + 는/ETM
것은	것/NNB + 은/JX
물론	물론/MAG
자가	자가/NNG
진단이	진단/NNG + 이/JKS
필요하다.	필요/NNG + 하/XSA + 다/EF + ./SF

자가	자가/NNG
진단은	진단/NNG + 은/JX
진단할	진단/NNG + 하/XSV + ㄹ/ETM
가슴의	가슴/NNG + 의/JKG
반대쪽	반대쪽/NNG
손을	손/NNG + 을/JKO
이용한다.	이용/NNG + 하/XSV + ㄴ다/EF + ./SF

엄지손가락을	엄지손가락/NNG + 을/JKO
제외한	제외/NNG + 하/XSV + ㄴ/ETM
4	4/SN
개의	개/NNB + 의/JKG
손가락을	손가락/NNG + 을/JKO
쭉	쭉/MAG
펴서	펴/VV + 어서/EC
끝마디와	끝마디/NNG + 와/JC
둘째	둘째/NR
마디	마디/NNG
바닥으로	바닥/NNG + 으로/JKB
가슴	가슴/NNG
군데군데를	군데군데/NNG + 를/JKO
지그시	지그시/MAG
눌러서	누르/VV + 어서/EC
멍울을	멍울/NNG + 을/JKO
찾아내는	찾아내/VV + 는/ETM
것이	것/NNB + 이/JKS
가장	가장/MAG
좋은	좋/VA + 은/ETM
방법이라고	방법/NNG + 이/VCP + 라고/EC
황	황/NNP
교수는	교수/NNG + 는/JX
소개한다.	소개/NNG + 하/XSV + ㄴ다/EF + ./SF

월경이	월경/NNG + 이/JKS
끝나고	끝나/VV + 고/EC
1주일	1/SN + 주일/NNB
후가	후/NNG + 가/JKS
적절한	적절/XR + 하/XSA + ㄴ/ETM
진단	진단/NNG
시기라고	시기/NNG + 이/VCP + 라고/EC
한다.	하/VV + ㄴ다/EF + ./SF

유방	유방/NNG
절제	절제/NNG
환자가	환자/NNG + 가/JKS
부딪히는	부딪히/VV + 는/ETM
다음	다음/NNG
문제는	문제/NNG + 는/JX
상실감이다.	상실감/NNG + 이/VCP + 다/EF + ./SF

"학력이	"/SS + 학력/NNG + 이/JKS
높고,	높/VA + 고/EC + ,/SP
직업을	직업/NNG + 을/JKO
가진	가지/VV + ㄴ/ETM
여성일수록	여성/NNG + 이/VCP + ㄹ수록/EC
정신적	정신/NNG + 적/XSN
고통을	고통/NNG + 을/JKO
크게	크/VA + 게/EC
받는다.	받/VV + 는다/EF + ./SF

의사가	의사/NNG + 가/JKS
도와줄	도와주/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
물리적인	물리/NNG + 적/XSN + 이/VCP + ㄴ/ETM
방법은	방법/NNG + 은/JX
유방	유방/NNG
복원	복원/NNG
수술이다"고	수술/NNG + 이/VCP + 다/EC + "/SS + 고/JKQ
황	황/NNP
교수는	교수/NNG + 는/JX
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

현재	현재/MAG
국내	국내/NNG
수술	수술/NNG
환자의	환자/NNG + 의/JKG
20%가량이	20/SN + %/SW + 가량/NNG + 이/JKS
실리콘	실리콘/NNG
삽입술,	삽입술/NNG + ,/SP
근육	근육/NNG
이식술	이식술/NNG
등	등/NNB
복원	복원/NNG
수술을	수술/NNG + 을/JKO
받고	받/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

복원	복원/NNG
수술	수술/NNG
대상은	대상/NNG + 은/JX
주로	주로/MAG
재발	재발/NNG
염려가	염려/NNG + 가/JKS
작은	작/VA + 은/ETM
2기	2/SN + 기/NNG
이하의	이하/NNG + 의/JKG
환자들이다.	환자/NNG + 들/XSN + 이/VCP + 다/EF + ./SF

1기	1/SN + 기/NNG
환자는	환자/NNG + 는/JX
절제	절제/NNG
수술과	수술/NNG + 과/JKB
동시에	동시/NNG + 에/JKB
복원	복원/NNG
수술을	수술/NNG + 을/JKO
할	하/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

'인생의	'/SS + 인생/NNG + 의/JKG
훈장'쯤으로	훈장/NNG + '/SS + 쯤/NNG + 으로/JKB
여겨지던	여기/VV + 어/EC + 지/VX + 던/ETM
흰머리가	흰머리/NNG + 가/JKS
20	20/SN
~	~/SO
30대	30/SN + 대/NNB
젊은	젊/VA + 은/ETM
층에도	층/NNG + 에/JKB + 도/JX
점차	점차/MAG
늘고	늘/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

이에	이/NP + 에/JKB
대해	대하/VV + 아/EC
전문가들은	전문가/NNG + 들/XSN + 은/JX
"모발	"/SS + 모발/NNG
속의	속/NNG + 의/JKG
멜라닌	멜라닌/NNG
세포가	세포/NNG + 가/JKS
일찍	일찍/MAG
파괴되어	파괴/NNG + 되/XSV + 어/EC
나타나는	나타나/VV + 는/ETM
현상"이라고	현상/NNG + "/SS + 이라고/JKQ
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

인체의	인체/NNG + 의/JKG
모발과	모발/NNG + 과/JC
피부에는	피부/NNG + 에/JKB + 는/JX
멜라닌	멜라닌/NNG
세포라는	세포/NNG + 이/VCP + 라는/ETM
색소	색소/NNG
세포가	세포/NNG + 가/JKS
있어	있/VV + 어/EC
색깔을	색깔/NNG + 을/JKO
띠게	띠/VV + 게/EC
되는데	되/VV + 는데/EC
노화	노화/NNG
등의	등/NNB + 의/JKG
요인에	요인/NNG + 에/JKB
의해	의하/VV + 아/EC
이	이/MM
세포가	세포/NNG + 가/JKS
파괴될	파괴/NNG + 되/XSV + ㄹ/ETM
경우	경우/NNG
색깔이	색깔/NNG + 이/JKS
비정상적으로	비/XPN + 정상/NNG + 적/XSN + 으로/JKB
변한다는	변하/VV + ㄴ다는/ETM
설명이다.	설명/NNG + 이/VCP + 다/EF + ./SF

모발은	모발/NNG + 은/JX
세포	세포/NNG
분열	분열/NNG
속도가	속도/NNG + 가/JKS
인체	인체/NNG
다른	다른/MM
부위에	부위/NNG + 에/JKB
비해	비하/VV + 아/EC
아주	아주/MAG
빠른	빠르/VA + ㄴ/ETM
편이어서	편/NNB + 이/VCP + 어서/EC
모발의	모발/NNG + 의/JKG
멜라닌	멜라닌/NNG
세포도	세포/NNG + 도/JX
외부	외부/NNG
자극에	자극/NNG + 에/JKB
쉽게	쉽/VA + 게/EC
손상되는	손상/NNG + 되/XSV + 는/ETM
것으로	것/NNB + 으로/JKB
알려졌다.	알리/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

서울대	서울대/NNP
의대	의대/NNG
박경찬	박경찬/NNP
교수(피부과)는	교수/NNG + (/SS + 피부과/NNG + )/SS + 는/JX
"미국의	"/SS + 미국/NNP + 의/JKG
경우	경우/NNG
30세	30/SN + 세/NNB
정도에	정도/NNG + 에/JKB
4	4/SN
명	명/NNB
중	중/NNB
한	한/MM
명이	명/NNB + 이/JKS
새치를	새치/NNG + 를/JKO
가지고	가지/VV + 고/EC
있다는	있/VX + 다는/ETM
조사	조사/NNG
보고가	보고/NNG + 가/JKS
나와	나오/VV + 아/EC
있다"며	있/VX + 다/EC + "/SS + 며/EC
"한국도	"/SS + 한국/NNP + 도/JX
비슷한	비슷/XR + 하/XSA + ㄴ/ETM
수준일	수준/NNG + 이/VCP + ㄹ/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
추정했다.	추정/NNG + 하/XSV + 았/EP + 다/EF + ./SF

모발의	모발/NNG + 의/JKG
멜라닌	멜라닌/NNG
세포는	세포/NNG + 는/JX
머리카락의	머리카락/NNG + 의/JKG
외피	외피/NNG
부분과	부분/NNG + 과/JC
모근	모근/NNG
부위에	부위/NNG + 에/JKB
집중적으로	집중/NNG + 적/XSN + 으로/JKB
분포돼	분포/NNG + 되/XSV + 어/EC
있다.	있/VX + 다/EF + ./SF

젊은	젊/VA + 은/ETM
층의	층/NNG + 의/JKG
흰머리에	흰머리/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
연구는	연구/NNG + 는/JX
아직	아직/MAG
백지	백지/NNG
상태에	상태/NNG + 에/JKB
가깝다.	가깝/VA + 다/EF + ./SF

그러나,	그러나/MAJ + ,/SP
전문가들은	전문가/NNG + 들/XSN + 은/JX
그	그/MM
이유를	이유/NNG + 를/JKO
유전성,	유전/NNG + 성/XSN + ,/SP
영양상태	영양/NNG + 상태/NNG
불균형,	불/XPN + 균형/NNG + ,/SP
자가	자가/NNG
면역	면역/NNG
이상,	이상/NNG + ,/SP
정신적	정신/NNG + 적/XSN
스트레스	스트레스/NNG
등에서	등/NNB + 에서/JKB
찾고	찾/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

먼저	먼저/MAG
유전성의	유전/NNG + 성/XSN + 의/JKG
경우	경우/NNG
일찍	일찍/MAG
털이	털/NNG + 이/JKS
하얗게	하얗/VA + 게/EC
되는	되/VV + 는/ETM
쥐는	쥐/NNG + 는/JX
특정	특정/NNG
유전자의	유전자/NNG + 의/JKG
이상	이상/NNG
때문인	때문/NNB + 이/VCP + ㄴ/ETM
것으로	것/NNB + 으로/JKB
이미	이미/MAG
밝혀져	밝히/VV + 어/EC + 지/VX + 어/EC
있다.	있/VX + 다/EF + ./SF

마찬가지로	마찬가지/NNG + 로/JKB
사람도	사람/NNG + 도/JX
머리가	머리/NNG + 가/JKS
잘	잘/MAG
세는	세/VV + 는/ETM
집안이	집안/NNG + 이/JKS
있다는	있/VV + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

영양	영양/NNG
상태가	상태/NNG + 가/JKS
나쁠	나쁘/VA + ㄹ/ETM
때도	때/NNG + 도/JX
탈모와	탈모/NNG + 와/JKB
함께	함께/MAG
머리가	머리/NNG + 가/JKS
희어진다.	희/VA + 어/EC + 지/VX + ㄴ다/EF + ./SF

대표적으로	대표/NNG + 적/XSN + 으로/JKB
비타민B12,	비타민/NNG + B/SL + 12/SN + ,/SP
구리	구리/NNG
성분,	성분/NNG + ,/SP
단백질	단백질/NNG
결핍증일	결핍증/NNG + 이/VCP + ㄹ/ETM
때	때/NNG
멜라닌	멜라닌/NNG
세포의	세포/NNG + 의/JKG
손상을	손상/NNG + 을/JKO
가져오는	가져오/VV + 는/ETM
것으로	것/NNB + 으로/JKB
알려졌다.	알리/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

갑상선	갑상선/NNG
질환,	질환/NNG + ,/SP
악성	악성/NNG
빈혈	빈혈/NNG
등과	등/NNB + 과/JKB
같은	같/VA + 은/ETM
자가	자가/NNG
면역성	면역/NNG + 성/XSN
질환을	질환/NNG + 을/JKO
앓을	앓/VV + 을/ETM
경우	경우/NNG
흰머리가	흰머리/NNG + 가/JKS
나타나는	나타나/VV + 는/ETM
수가	수/NNB + 가/JKS
있다.	있/VV + 다/EF + ./SF

젊은	젊/VA + 은/ETM
층	층/NNG
흰머리의	흰머리/NNG + 의/JKG
가장	가장/MAG
큰	크/VA + ㄴ/ETM
원인은	원인/NNG + 은/JX
역시	역시/MAG
정신적	정신/NNG + 적/XSN
스트레스와	스트레스/NNG + 와/JC
영양	영양/NNG
불량.	불량/NNG + ./SF

박	박/NNP
교수는	교수/NNG + 는/JX
"정신적	"/SS + 정신/NNG + 적/XSN
스트레스나	스트레스/NNG + 나/JC
과로,	과로/NNG + ,/SP
일시적	일시/NNG + 적/XSN
과음	과음/NNG
등으로	등/NNB + 으로/JKB
인해	인하/VV + 아/EC
손상을	손상/NNG + 을/JKO
가장	가장/MAG
먼저	먼저/MAG
받는	받/VV + 는/ETM
부위는	부위/NNG + 는/JX
세포	세포/NNG
분열	분열/NNG
속도가	속도/NNG + 가/JKS
빠른	빠르/VA + ㄴ/ETM
모발이다"고	모발/NNG + 이/VCP + 다/EC + "/SS + 고/JKQ
설명했다.	설명/NNG + 하/XSV + 았/EP + 다/EF + ./SF

"또	"/SS + 또/MAG
전반적으로	전반/NNG + 적/XSN + 으로/JKB
영양	영양/NNG
상태가	상태/NNG + 가/JKS
풍부해도	풍부/XR + 하/XSA + 아도/EC
일시적인	일시/NNG + 적/XSN + 이/VCP + ㄴ/ETM
영양	영양/NNG
결핍으로	결핍/NNG + 으로/JKB
흰머리	흰머리/NNG
현상이	현상/NNG + 이/JKS
나타나는	나타나/VV + 는/ETM
경우도	경우/NNG + 도/JX
있다"고	있/VV + 다/EC + "/SS + 고/JKQ
그는	그/NP + 는/JX
덧붙였다.	덧붙이/VV + 었/EP + 다/EF + ./SF

두	두/MM
번째	번/NNB + 째/XSN
국산	국산/NNG
위성	위성/NNG
'우리별	'/SS + 우리별/NNG
2호'	2/SN + 호/NNB + '/SS
발사가	발사/NNG + 가/JKS
11일	11/SN + 일/NNB
앞으로	앞/NNG + 으로/JKB
다가왔다.	다가오/VV + 았/EP + 다/EF + ./SF

당초	당초/NNG
지난	지나/VV + ㄴ/ETM
1일	1/SN + 일/NNB
발사	발사/NNG
예정이던	예정/NNG + 이/VCP + 던/ETM
우리별	우리별/NNG
2호는	2/SN + 호/NNB + 는/JX
함께	함께/MAG
발사되는	발사/NNG + 되/XSV + 는/ETM
프랑스의	프랑스/NNP + 의/JKG
스폿	스폿/NNP
3호가	3/SN + 호/NNB + 가/JKS
배선에	배선/NNG + 에/JKB
문제가	문제/NNG + 가/JKS
생기는	생기/VV + 는/ETM
바람에	바람/NNB + 에/JKB
연기돼	연기/NNG + 되/XSV + 어/EC
오는	오/VV + 는/ETM
25일	25/SN + 일/NNB
발사될	발사/NNG + 되/XSV + ㄹ/ETM
예정이다.	예정/NNG + 이/VCP + 다/EF + ./SF

현재	현재/MAG
우리별	우리별/NNG
2호는	2/SN + 호/NNB + 는/JX
발사	발사/NNG
장소인	장소/NNG + 이/VCP + ㄴ/ETM
남미	남미/NNP
프랑스령	프랑스령/NNG
기아나의	기아나/NNP + 의/JKG
쿠루	쿠루/NNP
우주기지에서	우주/NNG + 기지/NNG + 에서/JKB
최종	최종/NNG
점검을	점검/NNG + 을/JKO
받고	받/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

우리별	우리별/NNG
2호는	2/SN + 호/NNB + 는/JX
1호와는	1/SN + 호/NNB + 와/JKB + 는/JX
달리	달리/MAG
국내	국내/NNG
연구자들이	연구자/NNG + 들/XSN + 이/JKS
국내	국내/NNG
기술로	기술/NNG + 로/JKB
개발해	개발/NNG + 하/XSV + 아/EC
'진짜	'/SS + 진짜/NNG
우리별'이	우리/NP + 별/NNG + '/SS + 이/JKC
될	되/VV + ㄹ/ETM
것이라는	것/NNB + 이/VCP + 라는/ETM
평가를	평가/NNG + 를/JKO
받고	받/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

더욱이	더욱이/MAG
우리별	우리별/NNG
2호에는	2/SN + 호/NNB + 에/JKB + 는/JX
우주에서	우주/NNG + 에서/JKB
각종	각종/NNG
과학	과학/NNG
기술	기술/NNG
실험을	실험/NNG + 을/JKO
수행하기	수행/NNG + 하/XSV + 기/ETN
위한	위하/VV + ㄴ/ETM
첨단	첨단/NNG
장비들이	장비/NNG + 들/XSN + 이/JKS
실려	실리/VV + 어/EC
있어	있/VX + 어/EC
위성	위성/NNG
제작과	제작/NNG + 과/JC
운용에	운용/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
기술	기술/NNG
수준을	수준/NNG + 을/JKO
한	한/MM
단계	단계/NNG
높일	높이/VV + ㄹ/ETM
기회라고	기회/NNG + 이/VCP + 라고/EC
할	하/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

고도	고도/NNG
8백	8/SN + 백/NR
20㎞	20/SN + ㎞/SW
상공에서	상공/NNG + 에서/JKB
1시간	1/SN + 시간/NNG
41분마다	41/SN + 분/NNB + 마다/JX
지구를	지구/NNG + 를/JKO
한	한/MM
바퀴씩	바퀴/NNG + 씩/XSN
도는	돌/VV + 는/ETM
우리별	우리별/NNG
2호는	2/SN + 호/NNB + 는/JX
지구	지구/NNG
표면을	표면/NNG + 을/JKO
자세히	자세히/MAG
촬영하기	촬영/NNG + 하/XSV + 기/ETN
위해	위하/VV + 아/EC
두대의	두/MM + 대/NNB + 의/JKG
카메라를	카메라/NNG + 를/JKO
설치했다.	설치/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이중	이중/NNG
한대는	한/MM + 대/NNB + 는/JX
컬러	컬러/NNG
사진을	사진/NNG + 을/JKO
찍을	찍/VV + 을/ETM
국산	국산/NNG
광각	광각/NNG
카메라이고	카메라/NNG + 이/VCP + 고/EC
다른	다른/MM
한대인	한/MM + 대/NNB + 이/VCP + ㄴ/ETM
흑백	흑백/NNG
협각	협각/NNG
카메라는	카메라/NNG + 는/JX
가로	가로/NNG
세로	세로/NNG
2백m	2/SN + 백/NR + m/SL
넓이의	넓이/NNG + 의/JKG
지상	지상/NNG
피사체를	피사체/NNG + 를/JKO
식별할	식별/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있어	있/VV + 어/EC
1호	1/SN + 호/NNB
것보다	것/NNB + 보다/JKB
성능이	성능/NNG + 이/JKS
4배	4/SN + 배/NNG
향상됐다.	향상/NNG + 되/XSV + 었/EP + 다/EF + ./SF

저에너지검출기는	저/XPN + 에너지/NNG + 검출기/NNG + 는/JX
지구	지구/NNG
자기권에서	자기/NNG + 권/XSN + 에서/JKB
극지방으로	극지방/NNG + 으로/JKB
유입되는	유입/NNG + 되/XSV + 는/ETM
전자들의	전자/NNG + 들/XSN + 의/JKG
에너지를	에너지/NNG + 를/JKO
측정하는	측정/NNG + 하/XSV + 는/ETM
장치다.	장치/NNG + 이/VCP + 다/EF + ./SF

6천전자v	6/SN + 천/NR + 전자/NNG + v/SL
이하의	이하/NNG + 의/JKG
에너지를	에너지/NNG + 를/JKO
측정해	측정/NNG + 하/XSV + 아/EC
우주	우주/NNG
환경의	환경/NNG + 의/JKG
물리	물리/NNG
자료로	자료/NNG + 로/JKB
활용한다.	활용/NNG + 하/XSV + ㄴ다/EF + ./SF

한국과학기술원에서	한국과학기술원/NNP + 에서/JKB
제작된	제작/NNG + 되/XSV + ㄴ/ETM
적외선	적외선/NNG
감지기도	감지기/NNG + 도/JX
실려	실리/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

앞으로	앞/NNG + 으로/JKB
대형	대형/NNG
관측	관측/NNG
위성의	위성/NNG + 의/JKG
원격	원격/NNG
탐사에	탐사/NNG + 에/JKB
본격적으로	본격/NNG + 적/XSN + 으로/JKB
사용될	사용/NNG + 되/XSV + ㄹ/ETM
적외선	적외선/NNG
기기들을	기기/NNG + 들/XSN + 을/JKO
시험적으로	시험/NNG + 적/XSN + 으로/JKB
운용해	운용/NNG + 하/XSV + 아/EC
보기	보/VX + 기/ETN
위한	위하/VV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

또	또/MAG
소형	소형/NNG
32비트	32/SN + 비트/NNB
컴퓨터인	컴퓨터/NNG + 이/VCP + ㄴ/ETM
카스컴(KASCOM)이	카스컴/NNG + (/SS + KASCOM/SL + )/SS + 이/JKS
실려	실리/VV + 어/EC
위성	위성/NNG
주컴퓨터로서의	주/MM + 컴퓨터/NNG + 로서/JKB + 의/JKG
가능성을	가능/NNG + 성/XSN + 을/JKO
시험해	시험/NNG + 하/XSV + 아/EC
본다.	보/VX + ㄴ다/EF + ./SF

이	이/MM
컴퓨터는	컴퓨터/NNG + 는/JX
'별지기'라는	'/SS + 별지기/NNG + '/SS + 이/VCP + 라는/ETM
운영	운영/NNG
체계를	체계/NNG + 를/JKO
사용,	사용/NNG + ,/SP
위성내의	위성/NNG + 내/NNB + 의/JKG
여러	여러/MM
가지	가지/NNB
업무를	업무/NNG + 를/JKO
독립된	독립/NNG + 되/XSV + ㄴ/ETM
프로그램으로	프로그램/NNG + 으로/JKB
만들어	만들/VV + 어/EC
실행할	실행/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

이	이/MM
밖에도	밖/NNG + 에/JKB + 도/JX
우리별	우리별/NNG
2호엔	2/SN + 호/NNB + 에/JKB + ㄴ/JX
크고	크/VA + 고/EC
작은	작/VA + 은/ETM
컴퓨터	컴퓨터/NNG
15	15/SN
개가	개/NNB + 가/JKS
설치되어	설치/NNG + 되/XSV + 어/EC
있다.	있/VX + 다/EF + ./SF

우리별	우리별/NNG
2호는	2/SN + 호/NNB + 는/JX
통신	통신/NNG
실험도	실험/NNG + 도/JX
수행한다.	수행/NNG + 하/XSV + ㄴ다/EF + ./SF

우리별	우리별/NNG
2호가	2/SN + 호/NNB + 가/JKS
지나갈	지나가/VV + ㄹ/ETM
때	때/NNG
지상에서	지상/NNG + 에서/JKB
보내	보내/VV + 어/EC
온	오/VX + ㄴ/ETM
전자	전자/NNG
우편이	우편/NNG + 이/JKS
우편함에	우편함/NNG + 에/JKB
저장되었다가	저장/NNG + 되/XSV + 었/EP + 다가/EC
다른	다른/MM
지역을	지역/NNG + 을/JKO
지나갈	지나가/VV + ㄹ/ETM
때	때/NNG
그곳의	그곳/NP + 의/JKG
사용자가	사용자/NNG + 가/JKS
원할	원하/VV + ㄹ/ETM
경우	경우/NNG
우편물을	우편물/NNG + 을/JKO
전송하게	전송/NNG + 하/XSV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

즉	즉/MAG
우주	우주/NNG
공간을	공간/NNG + 을/JKO
날아	날/VV + 아/EC
다니는	다니/VV + 는/ETM
전자	전자/NNG
우편함	우편함/NNG
역할을	역할/NNG + 을/JKO
하는	하/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

영하	영하/NNG
40도에서	40/SN + 도/NNB + 에서/JKB
영상	영상/NNG
60도까지의	60/SN + 도/NNB + 까지/JX + 의/JKG
급격한	급격/XR + 하/XSA + ㄴ/ETM
온도	온도/NNG
변화,	변화/NNG + ,/SP
로켓	로켓/NNG
발사시의	발사/NNG + 시/NNB + 의/JKG
충격과	충격/NNG + 과/JC
열,	열/NNG + ,/SP
끊임없이	끊임없이/MAG
쏟아지는	쏟아지/VV + 는/ETM
우주의	우주/NNG + 의/JKG
방사선	방사선/NNG
등	등/NNB
가혹한	가혹/NNG + 하/XSA + ㄴ/ETM
우주의	우주/NNG + 의/JKG
환경	환경/NNG
속에서	속/NNG + 에서/JKB
수행될	수행/NNG + 되/XSV + ㄹ/ETM
이	이/MM
실험들은	실험/NNG + 들/XSN + 은/JX
본격적인	본격/NNG + 적/XSN + 이/VCP + ㄴ/ETM
위성	위성/NNG
시대를	시대/NNG + 를/JKO
대비해	대비/NNG + 하/XSV + 아/EC
뿌려지는	뿌리/VV + 어/EC + 지/VX + 는/ETM
씨앗	씨앗/NNG
기술이	기술/NNG + 이/JKC
될	되/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

최근	최근/NNG
부산시	부산시/NNP
덕산정수장	덕산정수장/NNP
상수도	상수도/NNG
처리	처리/NNG
시설	시설/NNG
입찰에서	입찰/NNG + 에서/JKB
오존	오존/NNG
처리법이	처리법/NNG + 이/JKS
인근	인근/NNG
화명	화명/NNP
정수장에	정수장/NNG + 에/JKB
이어	잇/VV + 어/EC
또	또/MAG
다시	다시/MAG
정수	정수/NNG
방식으로	방식/NNG + 으로/JKB
채택됨으로써	채택/NNG + 되/XSV + ㅁ/ETN + 으로써/JKB
오존	오존/NNG
처리	처리/NNG
정수법에	정수법/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
일반의	일반/NNG + 의/JKG
관심이	관심/NNG + 이/JKS
높아지고	높/VA + 아/EC + 지/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

페놀	페놀/NNG
파동을	파동/NNG + 을/JKO
겪은	겪/VV + 은/ETM
대구시도	대구시/NNP + 도/JX
곧	곧/MAG
오존	오존/NNG
처리법을	처리법/NNG + 을/JKO
도입할	도입/NNG + 하/XSV + ㄹ/ETM
예정이며	예정/NNG + 이/VCP + 며/EC
낙동강을	낙동강/NNP + 을/JKO
취수원으로	취수원/NNG + 으로/JKB
하는	하/VV + 는/ETM
마산,	마산/NNP + ,/SP
울산	울산/NNP
등도	등/NNB + 도/JX
이	이/MM
방식을	방식/NNG + 을/JKO
검토	검토/NNG
중인	중/NNB + 이/VCP + ㄴ/ETM
것으로	것/NNB + 으로/JKB
알려졌다.	알리/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

오존	오존/NNG
처리법이란	처리법/NNG + 이란/JX
산화력이	산화력/NNG + 이/JKS
강한	강하/VV + ㄴ/ETM
오존으로	오존/NNG + 으로/JKB
물	물/NNG
속의	속/NNG + 의/JKG
불순물을	불순물/NNG + 을/JKO
산화	산화/NNG
